id,jurisdiction__name,jurisdiction_id,court__name_abbreviation,court_id,reporter__full_name,reporter_id,label,date,degree_from_slave_case,cites,cites_short_name,target,slave_state
2283843,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. Lorenzo Priori, Appellant",1900,2,115 Cal. 303,People v. Muhlner,4376875,0
2285269,N.Y.,1,N.Y.,24653,New York Reports,20,"Stephen K. Williams et al., Appellants, v. Orville M. Barkley, Respondent, Impleaded with Another",1900,2,115 Cal. 303,People v. Muhlner,4376875,0
2283821,N.Y.,1,N.Y.,24653,New York Reports,20,"John W. Clark, Respondent, v. The National Shoe and Leather Bank of the City of New York, Appellant",1900,2,115 Cal. 303,People v. Muhlner,4376875,0
7761695,N.Y.,1,N.Y. App. Div.,8994,West's New York Supplement,89,LOWRY v. FARMERS' LOAN & TRUST CO. et al.,1900,2,13 N.M. 300,Territory of New Mexico v. Hendricks,4675669,0
2287067,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York ex rel. The Village of Brockport, Appellant and Respondent, v. John Sutphin et al., Constituting the Town Board of the Town of Sweden, Respondents and Appellants",1901,2,39 Ga. App. 100,Mitchell v. State,1440787,0
2287025,N.Y.,1,N.Y.,24653,New York Reports,20,"Mary Geiszler, Appellant, v. Amanda M. De Graaf et al., as Executors of Henry P. De Graaf, Deceased, Respondents, Impleaded with Another",1901,2,54 Ga. App. 268,Goldsmith v. State,1479172,0
2287076,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York ex rel. Clinton H. Smith, Appellant, v. Edward M. Hoffman, as Adjutant-General of the State of New York, et al., Respondents",1901,2,54 Ga. App. 268,Goldsmith v. State,1479172,0
7681374,N.Y.,1,N.Y. App. Div.,8994,West's New York Supplement,89,PEOPLE v. SELDNER,1901,2,78 Ga. App. 273,Perry v. State,1541451,0
2299588,N.Y.,1,N.Y.,24653,New York Reports,20,"In the Matter of the Petition of John C. Davies, Attorney-General of the State of New York, Appellant, for an Order Directing Charles W. Morse, Respondent, et al., to Appear before a Referee for Examination",1901,2,349 U.S. 375,Williams v. Georgia,11335578,0
2301840,N.Y.,1,N.Y.,24653,New York Reports,20,"Louis Dannhauser, Appellant, v. Rosa Wallenstein, Respondent",1901,2,349 U.S. 375,Williams v. Georgia,11335578,0
2305104,N.Y.,1,N.Y.,24653,New York Reports,20,"In the Matter of the Transfer Tax upon the Estate of Walden Pell, 1st, Deceased. Leslie Pell-Clarke, as Administrator with the Will Annexed, Appellant; The Comptroller of the City of New York, Respondent",1902,2,239 Ga. 483,State v. Eubanks,1157546,0
2305271,N.Y.,1,N.Y.,24653,New York Reports,20,"Janet Rudd et al., as Executrices and Trustees under the Will of George Rudd, Deceased, Respondents, v. Annie E. Cornell, Individually, and as Administratrix of Genevieve M. Rudd, Deceased, Appellant, and Janet Rudd et al., Respondents",1902,2,239 Ga. 483,State v. Eubanks,1157546,0
2305238,N.Y.,1,N.Y.,24653,New York Reports,20,"Isaac P. Sutherland et al., Appellants, v. Albany Cold Storage and Warehouse Company, Respondent",1902,2,239 Ga. 483,State v. Eubanks,1157546,0
2305122,N.Y.,1,N.Y.,24653,New York Reports,20,"Lena E. Hunt, Appellant, v. Joseph T. Hunt et al., as Executors of Wilson G. Hunt, Deceased, et al., Respondents",1902,2,239 Ga. 483,State v. Eubanks,1157546,0
2306929,N.Y.,1,N.Y.,24653,New York Reports,20,"Frederick Reichert, Respondent, v. Charlotte M. Stilwell, as Administratrix of Charles A. Stilwell, Deceased, et al., Appellants",1902,2,239 Ga. 483,State v. Eubanks,1157546,0
2306813,N.Y.,1,N.Y.,24653,New York Reports,20,"Edmund J. Lowry, Respondent, v. The Farmers' Loan and Trust Company et al., Appellants, Impleaded with Others",1902,2,239 Ga. 483,State v. Eubanks,1157546,0
2307032,N.Y.,1,N.Y.,24653,New York Reports,20,"Sarah A. Bly, Appellant, v. The Edison Electric Illuminating Company of New York, Respondent",1902,2,239 Ga. 483,State v. Eubanks,1157546,0
2308579,N.Y.,1,N.Y.,24653,New York Reports,20,"The Newburgh Savings Bank, Appellant, v. The Town of Woodbury, Defendant, and John G. Earl et al., Respondents, Impleaded with Others",1903,2,266 Ga. 700,Cantrell v. State,1245954,0
5496011,N.Y.,1,N.Y. App. Div.,8994,West's New York Supplement,89,LYMAN v. STATE BANK OF RANDOLPH et al.,1903,2,266 Ga. 700,Cantrell v. State,1245954,0
2310467,N.Y.,1,N.Y.,24653,New York Reports,20,"Joseph Greenwald et al., Respondents, v. Augustus Wales as Sheriff of Broome County, Appellant",1903,2,266 Ga. 700,Cantrell v. State,1245954,0
7677082,N.Y.,1,N.Y. App. Div.,8994,West's New York Supplement,89,PEOPLE v. MILLS,1904,2,52 Miss. 23,Long v. State,8837326,0
805310,N.Y.,1,N.Y.,24653,New York Criminal Reports,143,THE PEOPLE v. ALICE M. WEAVER,1904,2,52 Miss. 23,Long v. State,8837326,0
2315226,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. Alice M. Weaver, Appellant",1904,2,52 Miss. 23,Long v. State,8837326,0
2316551,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. George E. Mills, Appellant",1904,2,53 Miss. 439,Teat v. State,1670056,0
805410,N.Y.,1,N.Y.,24653,New York Criminal Reports,143,THE PEOPLE v. THOMAS F. CORBALIS,1904,2,53 Miss. 363,Finch v. State,1670083,0
2316578,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. Thomas F. Corbalis et al., Appellants",1904,2,53 Miss. 363,Finch v. State,1670083,0
805332,N.Y.,1,N.Y.,24653,New York Criminal Reports,143,THE PEOPLE v. WILLIAM M. DEGARMO,1904,2,57 Miss. 147,Cannon v. State,8838392,0
2318488,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. William M. De Garmo, Appellant",1904,2,57 Miss. 147,Cannon v. State,8838392,0
2320419,N.Y.,1,N.Y.,24653,New York Reports,20,"George Kurz, Respondent, v. Anton Doerr, Appellant",1904,2,59 Miss. 484,Coleman v. State,1641902,0
3080852,N.Y.,1,N.Y. App. Div.,8994,West's New York Supplement,89,ROBB v. WASHINGTON AND JEFFERSON COLLEGE et al.,1905,2,119 Mo. 495,State v. Young,955330,0
3077910,N.Y.,1,N.Y. App. Div.,8994,West's New York Supplement,89,PEOPLE v. HAAS,1905,2,119 Mo. 495,State v. Young,955330,0
2323149,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. Albert T. Patrick, Appellant",1905,2,119 Mo. 495,State v. Young,955330,0
2323143,N.Y.,1,N.Y.,24653,New York Reports,20,"In the Matter of the Probate of the Will of Jane Davis, Deceased. Robert D. Chittenden et al., as Administrators of the Estate of Jane Davis, Deceased, Appellants and Respondents; George W. French et al., Respondents and Appellants",1905,2,72 Miss. 408,Burt v. State,8835857,0
2323198,N.Y.,1,N.Y.,24653,New York Reports,20,"Asher Green, Respondent, v. Andrew J. Davies et al., Appellants, Impleaded with Another",1905,2,72 Miss. 408,Burt v. State,8835857,0
3123428,N.Y.,1,N.Y. App. Term,8833,West's New York Supplement,89,HIRSCH v. AMERICAN DIST. TELEGRAPH CO.,1905,2,72 Miss. 408,Burt v. State,8835857,0
3140317,N.Y.,1,N.Y. App. Term,8833,West's New York Supplement,89,GILMAN v. POSTAL TELEGRAPH CO.,1905,2,72 Miss. 408,Burt v. State,8835857,0
47916,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. John Johnson, Appellant",1906,2,12 Wyo. 80,Horn v. State,11263947,0
2328258,N.Y.,1,N.Y.,24653,New York Reports,20,"Julia S. Boyd, Respondent, v. United States Mortgage and Trust Company, Appellant, Impleaded with Others",1907,2,160 Miss. 227,Smith v. State,1841772,0
3444075,N.Y.,1,N.Y. Sup. Ct.,8791,West's New York Supplement,89,ENSIGN v. ENSIGN,1907,2,580 So. 2d 1182,King v. State,7528353,0
5280800,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"American Exchange National Bank, Respondent, v. The Woodlawn Cemetery, Appellant",1907,2,580 So. 2d 1182,King v. State,7528353,0
3436390,N.Y.,1,N.Y. App. Div.,8994,West's New York Supplement,89,AMERICAN EXCH. NAT. BANK v. WOODLAWN CEMETERY,1907,2,109 La. 516,Succession of Oubre,2490201,0
3440634,N.Y.,1,N.Y. Sup. Ct.,8791,West's New York Supplement,89,DONCOURT v. DENTON,1907,2,166 La. 497,Hitt v. Herndon,1253654,0
3371270,N.Y.,1,N.Y. Sup. Ct.,8791,West's New York Supplement,89,TOMCZEK v. WIESER et al.,1908,2,59 Mo. 495,Lewis v. St. Louis & Iron Mountain Railroad,935514,0
51759,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Appellant, v. George B. McClellan, Respondent, Impleaded with Another",1908,2,59 Mo. 495,Lewis v. St. Louis & Iron Mountain Railroad,935514,0
55924,N.Y.,1,N.Y.,24653,New York Reports,20,"George S. Nicholas, Respondent, v. Franklin B. Lord, as Trustee under a Deed of Trust Made by August P. Purdy, et al., Appellants, Impleaded with Another",1908,2,209 Mo. 1,Lanyon v. Chesney,923253,0
55948,N.Y.,1,N.Y.,24653,New York Reports,20,"Brooklyn Distilling Company, Respondent, v. Standard Distilling and Distributing Company, Appellant",1908,2,231 Mo. 131,"Shohoney v. Quincy, Omaha & Kansas City Railroad",791209,0
4461248,N.Y.,1,N.Y.,24653,New York Reports,20,"Siegmund E. Halberstadt, Appellant, v. New York Life Insurance Company, Respondent",1909,2,231 Mo. 131,"Shohoney v. Quincy, Omaha & Kansas City Railroad",791209,0
4460317,N.Y.,1,N.Y.,24653,New York Reports,20,"The American Exchange National Bank, Respondent, v. The Woodlawn Cemetery, Appellant",1909,2,231 Mo. 131,"Shohoney v. Quincy, Omaha & Kansas City Railroad",791209,0
4460278,N.Y.,1,N.Y.,24653,New York Reports,20,"Emily H. Hathorn et al., Respondents, v. Natural Carbonic Gas Company, Appellant",1909,2,291 Mo. 54,Hurst Automatic Switch & Signal Co. v. Trust Co. of St. Louis County,886003,0
7661795,N.Y.,1,N.Y. App. Term,8833,West's New York Supplement,89,BARASCH v. KRAMER et al.,1909,2,291 Mo. 54,Hurst Automatic Switch & Signal Co. v. Trust Co. of St. Louis County,886003,0
810765,N.Y.,1,N.Y. App. Div.,8994,New York Criminal Reports,143,THE PEOPLE v. EDWARD E. BRITTON ET AL.,1909,2,33 Md. 558,Lester v. Howard Bank,1770535,0
